id,study,title,design,instrument,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
248,"Rio, 2014",A Data-Driven Model of Pedestrian Following and Em,mixed,A+B,R,R,R,R,R,R,R,R,R,P
250,"Robinette, 2012",Information propagation applied to robot-assisted,simulation,B,,,,,,R,P,P,R,P
253,"Sakour, 2016",Robot assisted evacuation simulation,simulation,B,,,,,,R,P,N,R,P
255,"Sattaratnamai, 2020",Urban Navigation System With Multiple Sub-Maps and,other,B,,,,,,R,P,P,P,R
256,"Shao, 2015",Effective strategies of collective evacuation from,simulation,B,,,,,,R,P,N,R,P
257,"Sharma, 2009",Modeling Emergency Scenarios in Virtual Evacuation,simulation,B,,,,,,R,P,N,P,P
258,"Sharma, 2011",Crowd simulation in emergency aircraft evacuation,simulation,B,,,,,,P,N,N,N,P
259,"Sharma, 2017",Megacity A Collaborative Virtual Reality Environm,simulation,B,,,,,,P,N,N,N,P
260,"Sharpanskykh, 2011",Grouping Behaviour in AmI-Enabled Crowd Evacuation,simulation,B,,,,,,R,P,P,R,P
262,"Shendarkar, 2006",Crowd Simulation for Emergency Response using BDI,mixed,A+B,R,P,R,P,P,R,R,P,R,P
263,"Shendarkar, 2008",Crowd simulation for emergency response using BDI,mixed,A+B,R,P,R,R,P,R,R,P,P,P
264,"Shiwakoti, 2014",Using non-human biological entities to understand,simulation,B,,,,,,R,R,R,R,P
265,"Singh, 2009",Modelling subgroup behaviour in crowd dynamics DEM,mixed,A+B,R,R,R,P,P,R,R,R,P,P
266,"Sirakoulis, 2014",Cellular Automata for Crowd Dynamics,other,B,,,,,,NA,NA,NA,NA,NA
267,"Sirakoulis, 2015",The Computational Paradigm of Cellular Automata in,other,B,,,,,,NA,NA,NA,NA,NA
269,"Sobhana, 2023",Modelling and simulating the leader-follower behav,mixed,A+B,R,R,R,P,P,R,R,R,R,P
270,"Spartalis, 2014",CA Crowd Modeling for a Retirement House Evacuatio,simulation,B,,,,,,R,P,N,P,P
271,"Sriniketh, 2023",Robot-aided human evacuation optimal path planning,mixed,A+B,R,P,R,P,P,R,P,R,R,R
272,"Srinivasan, 2017",Pedestrian dynamics with explicit sharing of exit,simulation,B,,,,,,R,P,R,R,P
273,"Srinivasan, 2018",A Study of How Opinion Sharing Affects Emergency E,simulation,B,,,,,,R,P,N,P,P
274,"Sun, 2021",Self-Organized Crowd Dynamics Research on Earthqu,simulation,B,,,,,,R,P,N,R,P
275,"Taneja, 2018",Pedestrian control measures for efficient emergenc,simulation,B,,,,,,R,R,N,R,P
276,"Tang, 2016",Human Mobility Modeling for Robot-Assisted Evacuat,simulation,B,,,,,,R,P,N,R,P
277,"Tian, 2024",NegEmotion Explore the Double-Edged Sword Effect,mixed,A+B,R,P,R,P,P,R,P,R,R,P
278,"Tianhe, 2018",Optimal Control on Crowd Evacuation with Leader-Fo,simulation,B,,,,,,R,P,N,P,P
279,"Tresa, 2021",IoT based Smart Sensing and Alarming System with A,other,A,NA,NA,NA,NA,NA,,,,,
280,"Trivedi, 2018",Agent-Based Modeling of Emergency Evacuations Cons,simulation,B,,,,,,R,P,N,P,P
281,"Tsorvas, 2016",Enhanced Multi-parameterized Cellular Automata Mo,simulation,B,,,,,,R,P,R,R,P
282,"Turgut, 2022",Modeling pedestrian group behavior in crowd evacua,simulation,B,,,,,,R,R,R,R,R
283,"Urata, 2012",Modeling the Cooperation Network Formation Process,mixed,A+B,R,P,R,P,P,R,R,P,P,P
284,"Vackova, 2020",Follower-Leader Concept in Microscopic Analysis,empirical,A,R,P,P,P,P,,,,,
285,"Vani, 2013",Agent Based Evacuation Simulation Using Leader-Follower Model,simulation,B,,,,,,R,N,N,P,P
287,"Voyer, 2016",Hospital evacuation in disasters uncovering the s,simulation,B,,,,,,R,R,P,R,P
288,"Wagner, 2020",Principles of evacuation robots,other,NA,,,,,,,,,,
290,"Wan, 2020",Robot-Assisted Pedestrian Regulation Based on Deep,simulation,B,,,,,,R,P,P,R,P
291,"Wang, 2019",Effects of Leaders in the Low-visibility Environment,simulation,B,,,,,,R,P,N,P,P
292,"Wang, 2019",Simulation of pedestrian evacuation strategies und,simulation,B,,,,,,R,P,N,R,P
293,"Wang, 2012",Evacuation assistants An extended model for deter,simulation,B,,,,,,R,P,N,P,P
294,"Wang, 2015",Understanding the centripetal effect and evacuatio,simulation,B,,,,,,R,P,N,R,P
295,"Wang, 2017",A utility threshold model of herding-panic behavio,mixed,A+B,R,P,R,R,P,R,P,P,P,P
296,"Wang, 2017",Social Interaction in Pedestrian Evacuation a Cel,simulation,B,,,,,,R,P,N,P,P
297,"Wang, 2018",Study on Post-Earthquake Evacuation Model by Fusin,simulation,B,,,,,,R,P,P,R,P
298,"Wang, 2019",Improved Multi-Agent Reinforcement Learning for Pa,simulation,B,,,,,,R,P,P,R,P
300,"Wang, 2022",Simulating the leadership effect in crowd evacuation,simulation,B,,,,,,R,N,N,R,P
301,"Wang, 2022",Wall-following searching or area coverage searchin,simulation,B,,,,,,R,P,N,R,P
302,"Wei, 2011",A Hybrid Simulation of Large Crowd Evacuation,simulation,B,,,,,,R,N,N,N,P
303,"Wong, 2017",Optimized evacuation route based on crowd simulati,simulation,B,,,,,,R,R,P,R,P
304,"Wu, 2014","Computer Simulation of Leadership, Consensus Decis",simulation,B,,,,,,R,R,R,R,P
305,"Wu, 2022",Dynamic leader role modeling for self-organizing crowd evacuation simulation,simulation,B,,,,,,R,P,N,P,P
306,"Wu, 2024",A Vision-Driven Model Based on Cognitive Heuristic,simulation,B,,,,,,R,P,R,R,P
307,"Wu, 2024",An Unmanned System-Guided Crowd Evacuation Method,simulation,B,,,,,,R,P,P,R,P
308,"Xie, 2020",Evacuation performance of individuals and social g,empirical,A,R,P,R,P,R,,,,,
309,"Xie, 2021",A study of group effects in pedestrian crowd evacu,mixed,A+B,R,R,R,P,P,R,R,R,R,P
310,"Xie, 2022",Detecting Undeclared-Leader-Follower Structure in,simulation,B,,,,,,R,P,R,R,P
312,"Xie, 2023",Study on single-group dynamics in evacuation,simulation,B,,,,,,R,P,P,R,P
313,"Xu, 2021",System dynamics research of non-adaptive evacuatio,simulation,B,,,,,,R,R,P,R,P
314,"Xu, 2023",Pedestrian evacuation dynamics considering information guidance,simulation,B,,,,,,R,P,N,R,P
315,"Xu, 2024",Transfer entropy on collective motion with undecla,mixed,A+B,R,P,R,P,P,R,R,R,P,P
316,"Yang, 2014",Guided crowd dynamics via modified social force mo,simulation,B,,,,,,R,R,R,R,P
317,"Yang, 2016",Necessity of guides in pedestrian emergency evacua,simulation,B,,,,,,R,P,N,R,P
319,"Yang, 2020",Guide optimization in pedestrian emergency evacuat,simulation,B,,,,,,R,P,N,R,P
321,"Yi, 2022",An extended queueing model based on vision and mor,mixed,A+B,R,P,P,P,P,R,P,P,R,P
322,"Yi, 2024",Phase Transitions in Pedestrian Evacuation A Dyna,simulation,B,,,,,,R,P,N,R,P
324,"Yu, 2023",Modeling of crowd groups with an extended social f,simulation,B,,,,,,R,P,N,R,P
325,"Yu, 2022",An extended model for crowd evacuation considering,simulation,B,,,,,,R,P,N,R,P
326,"Yu, 2022",DArteiclteermining Subway Emergency Evacuation Eff,mixed,A+B,R,R,R,P,P,R,R,P,P,P
327,"Yu, 2024",Integrated modeling of crowd groups based on spati,simulation,B,,,,,,R,R,R,R,P
328,"Yuan, 2023",Multi-robot-assisted human crowd control for emerg,simulation,B,,,,,,R,P,R,P,P
329,"Yuecheng, 2013",Optimal leader-follower control for crowd evacuati,simulation,B,,,,,,R,P,R,N,P
330,"Zell, 2019",Simulation Prepares an Interprofessional Team to E,empirical,A,R,R,R,R,P,,,,,
331,"Zhang, 2013",,simulation,B,,,,,,R,P,N,P,P
332,"Zhang, 2021",Optimal guidance strategy for crowd evacuation wit,simulation,B,,,,,,R,R,P,R,P
333,"Zhang, 2018",Modified two-layer social force model for emergenc,simulation,B,,,,,,R,P,R,P,P
334,"Zhang, 2021",Experimental study on crowd following behavior und,empirical,A,R,R,R,R,P,,,,,
335,"Zhang, 2021",IoT-Based Positive Emotional Contagion for Crowd E,mixed,A+B,R,P,P,P,P,R,P,P,P,P
336,"Zhang, 2022",Experimental study on evacuation behavior with gui,empirical,A,R,R,R,P,P,,,,,
337,"Zhang, 2023",Experimental and modeling study on evacuation beha,mixed,A+B,R,P,R,P,P,R,R,R,R,P
338,"Zhang, 2023",Pedestrian Evacuation Modelling and Simulation Und,simulation,B,,,,,,R,P,N,R,P
339,"Zhang, 2023",Pedestrian small group behaviour and evacuation dy,mixed,A+B,R,P,R,P,P,R,R,R,R,P
340,"Zhang, 2023",Sensor-Based Pedestrian Movement Simulation and Ev,mixed,A+B,R,P,R,P,P,R,P,P,P,P
341,"Zhang, 2024",A double‐layer crowd evacuation simulation method based on deep reinforcement,simulation,B,,,,,,R,P,N,R,R
342,"Zhang, 2024",Multisource-Knowledge-Based Approach for Crowd Eva,simulation,B,,,,,,R,P,P,P,P
343,"Zhao, 2018",A Role-Dependent Data-Driven Approach for High-Den,simulation,B,,,,,,R,R,R,R,P
345,"Zhao, 2021",An evacuation simulation method based on an improv,simulation,B,,,,,,R,P,P,R,R
346,"Zheng, 2019",Improved Multi-Agent Deep Deterministic Policy Gra,simulation,B,,,,,,R,P,P,P,R
