uptake_C,total_agents,iwd_agents,total_exited,iwd_exited,total_completion_rate,iwd_completion_rate,median_exit_time_s,max_exit_time_s,route_changes,uptake_agents,runtime_seconds,simulated_horizon_s,scenario_id,paired_total_exit_difference_from_C0,paired_iwd_exit_difference_from_C0
0.7,2096,439,2095,438,0.999523,0.997722,158.4,354.95,611,1485,176.975,360.0000000000476,38,454,76
0.0,2096,452,1683,367,0.802958,0.811947,143.7,359.95,0,0,277.735,360.0000000000476,39,0,0
0.1,2096,452,1763,381,0.841126,0.84292,145.6,359.6,102,240,260.505,360.0000000000476,39,80,14
0.3,2096,452,1907,400,0.909828,0.884956,147.15,359.75,282,665,228.556,360.0000000000476,39,224,33
0.5,2096,452,2060,449,0.982824,0.993363,152.0,359.75,435,1056,210.389,360.0000000000476,39,377,82
0.7,2096,452,2095,451,0.999523,0.997788,148.6,339.8,585,1451,203.2,360.0000000000476,39,412,84
0.0,2096,903,2029,859,0.968034,0.951274,165.25,359.95,0,0,234.542,360.0000000000476,40,0,0
0.1,2096,903,2058,865,0.98187,0.957918,159.975,359.05,71,226,225.732,360.0000000000476,40,29,6
0.3,2096,903,2094,901,0.999046,0.997785,158.675,358.55,191,670,210.25,360.0000000000476,40,65,42
0.5,2096,903,2096,903,1.0,1.0,158.975,357.3,289,1064,193.384,357.350000000047,40,67,44
0.7,2096,903,2096,903,1.0,1.0,157.975,329.65,388,1465,190.529,329.7000000000407,40,67,44
0.0,2096,483,1721,392,0.821088,0.811594,139.55,359.85,0,0,260.473,360.0000000000476,41,0,0
0.1,2096,483,1776,403,0.847328,0.834369,141.975,359.85,70,196,234.13,360.0000000000476,41,55,11
0.3,2096,483,1897,420,0.905057,0.869565,143.8,359.85,211,574,242.98,360.0000000000476,41,176,28
0.5,2096,483,2072,472,0.98855,0.977226,146.95,359.85,394,1035,223.714,360.0000000000476,41,351,80
0.7,2096,483,2096,483,1.0,1.0,141.45,353.35,567,1489,172.912,353.4000000000461,41,375,91
0.0,2096,526,1704,455,0.812977,0.865019,158.55,359.8,0,0,262.865,360.0000000000476,42,0,0
0.1,2096,526,1719,423,0.820134,0.804183,156.95,359.75,75,205,253.154,360.0000000000476,42,15,-32
0.3,2096,526,1857,461,0.885973,0.876426,160.15,359.75,225,610,220.418,360.0000000000476,42,153,6
0.5,2096,526,2022,505,0.964695,0.960076,165.375,359.8,391,1056,212.369,360.0000000000476,42,318,50
0.7,2096,526,2087,521,0.995706,0.990494,164.45,357.75,550,1455,200.788,360.0000000000476,42,383,66
0.0,2096,256,1605,207,0.765744,0.808594,128.4,359.6,0,0,268.85,360.0000000000476,43,0,0
0.1,2096,256,1685,209,0.803912,0.816406,128.45,359.6,101,210,265.601,360.0000000000476,43,80,2
0.3,2096,256,1833,226,0.874523,0.882812,128.7,359.6,287,638,236.296,360.0000000000476,43,228,19
0.5,2096,256,2015,253,0.961355,0.988281,126.9,359.6,493,1080,210.174,360.0000000000476,43,410,46
0.7,2096,256,2094,255,0.999046,0.996094,127.65,359.1,686,1498,190.751,360.0000000000476,43,489,48
0.0,2096,398,1684,327,0.803435,0.821608,125.275,359.9,0,0,277.507,360.0000000000476,44,0,0
0.1,2096,398,1760,348,0.839695,0.874372,123.025,359.9,80,193,244.055,360.0000000000476,44,76,21
0.3,2096,398,1919,374,0.915553,0.939698,123.55,359.9,260,611,233.894,360.0000000000476,44,235,47
0.5,2096,398,2055,393,0.980439,0.987437,125.45,359.9,430,1033,202.77,360.0000000000476,44,371,66
0.7,2096,398,2096,398,1.0,1.0,126.15,346.85,625,1453,189.707,346.9000000000446,44,412,71
0.0,2096,197,1538,164,0.733779,0.832487,137.7,359.65,0,0,284.29,360.0000000000476,45,0,0
0.1,2096,197,1616,168,0.770992,0.852792,137.5,359.65,97,202,257.357,360.0000000000476,45,78,4
0.3,2096,197,1768,174,0.843511,0.883249,140.75,359.65,285,610,241.41,360.0000000000476,45,230,10
0.5,2096,197,1947,192,0.928912,0.974619,140.7,359.65,493,1025,211.775,360.0000000000476,45,409,28
0.7,2096,197,2095,197,0.999523,1.0,144.15,354.15,703,1439,192.71,360.0000000000476,45,557,33
0.0,2096,614,1823,537,0.869752,0.874593,137.45,359.9,0,0,240.532,360.0000000000476,46,0,0
0.1,2096,614,1877,548,0.895515,0.892508,139.05,359.9,69,202,225.92,360.0000000000476,46,54,11
0.3,2096,614,2028,606,0.967557,0.986971,144.875,359.9,218,633,208.703,360.0000000000476,46,205,69
0.5,2096,614,2090,609,0.997137,0.991857,145.0,357.5,363,1078,183.887,360.0000000000476,46,267,72
0.7,2096,614,2096,614,1.0,1.0,140.925,333.1,499,1480,177.94,333.1500000000415,46,273,77
0.0,2096,1011,2002,917,0.955153,0.907023,171.175,359.35,0,0,224.66,360.0000000000476,47,0,0
0.1,2096,1011,2008,923,0.958015,0.912957,170.1,359.95,57,218,224.305,360.0000000000476,47,6,6
0.3,2096,1011,2075,990,0.989981,0.979228,168.95,359.6,181,614,201.081,360.0000000000476,47,73,73
0.5,2096,1011,2080,995,0.992366,0.984174,169.2,359.85,280,1029,200.882,360.0000000000476,47,78,78
0.7,2096,1011,2096,1011,1.0,1.0,172.725,347.1,404,1465,203.005,347.15000000004466,47,94,94
0.0,2096,689,1843,598,0.879294,0.867925,146.35,359.8,0,0,240.255,360.0000000000476,48,0,0
0.1,2096,689,1891,601,0.902195,0.872279,147.5,359.8,75,204,225.817,360.0000000000476,48,48,3
